experiment,pipeline,run_name,target_level,total_samples,exact_match_count,partial_match_count,complete_mismatch_count,emr
exp1,dl,bilstm_fasttext_basic_hid128,basic,3049,4,0,3045,0.0013
exp1,dl,bilstm_fasttext_fine_hid128,fine,3049,4,0,3045,0.0013
exp1,dl,bilstm_indobert_basic_hid128,basic,3049,1000,332,1717,0.328
exp1,dl,bilstm_indobert_fine_hid128,fine,3049,290,179,2580,0.0951
exp1,dl,cnn_fasttext_basic_filt100,basic,3049,1167,404,1478,0.3827
exp1,dl,cnn_fasttext_fine_filt100,fine,3049,534,300,2215,0.1751
exp1,dl,cnn_indobert_basic_filt100,basic,3049,1005,331,1713,0.3296
exp1,dl,cnn_indobert_fine_filt100,fine,3049,479,284,2286,0.1571
exp1,traditional,BR_Basic_Bigram_BoW_LR,unknown,3049,1089,422,1538,0.3572
exp1,traditional,BR_Basic_Bigram_BoW_NB,unknown,3049,996,821,1232,0.3267
exp1,traditional,BR_Basic_Bigram_BoW_SVM,unknown,3049,852,242,1955,0.2794
exp1,traditional,BR_Basic_Bigram_TFIDF_LR,unknown,3049,1002,261,1786,0.3286
exp1,traditional,BR_Basic_Bigram_TFIDF_NB,unknown,3049,851,219,1979,0.2791
exp1,traditional,BR_Basic_Bigram_TFIDF_SVM,unknown,3049,982,267,1800,0.3221
exp1,traditional,BR_Basic_Trigram_BoW_LR,unknown,3049,1110,411,1528,0.3641
exp1,traditional,BR_Basic_Trigram_BoW_NB,unknown,3049,1009,809,1231,0.3309
exp1,traditional,BR_Basic_Trigram_BoW_SVM,unknown,3049,852,242,1955,0.2794
exp1,traditional,BR_Basic_Trigram_TFIDF_LR,unknown,3049,1000,256,1793,0.328
exp1,traditional,BR_Basic_Trigram_TFIDF_NB,unknown,3049,800,204,2045,0.2624
exp1,traditional,BR_Basic_Trigram_TFIDF_SVM,unknown,3049,976,266,1807,0.3201
exp1,traditional,BR_Basic_Unigram_BoW_LR,unknown,3049,1052,391,1606,0.345
exp1,traditional,BR_Basic_Unigram_BoW_NB,unknown,3049,1004,733,1312,0.3293
exp1,traditional,BR_Basic_Unigram_BoW_SVM,unknown,3049,873,243,1933,0.2863
exp1,traditional,BR_Basic_Unigram_TFIDF_LR,unknown,3049,1033,253,1763,0.3388
exp1,traditional,BR_Basic_Unigram_TFIDF_NB,unknown,3049,811,207,2031,0.266
exp1,traditional,BR_Basic_Unigram_TFIDF_SVM,unknown,3049,1000,257,1792,0.328
exp1,traditional,BR_Fine_Bigram_BoW_LR,unknown,3049,429,336,2284,0.1407
exp1,traditional,BR_Fine_Bigram_BoW_NB,unknown,3049,346,854,1849,0.1135
exp1,traditional,BR_Fine_Bigram_BoW_SVM,unknown,3049,270,125,2654,0.0886
exp1,traditional,BR_Fine_Bigram_TFIDF_LR,unknown,3049,292,121,2636,0.0958
exp1,traditional,BR_Fine_Bigram_TFIDF_NB,unknown,3049,116,47,2886,0.038
exp1,traditional,BR_Fine_Bigram_TFIDF_SVM,unknown,3049,294,123,2632,0.0964
exp1,traditional,BR_Fine_Trigram_BoW_LR,unknown,3049,429,328,2292,0.1407
exp1,traditional,BR_Fine_Trigram_BoW_NB,unknown,3049,361,785,1903,0.1184
exp1,traditional,BR_Fine_Trigram_BoW_SVM,unknown,3049,265,124,2660,0.0869
exp1,traditional,BR_Fine_Trigram_TFIDF_LR,unknown,3049,287,114,2648,0.0941
exp1,traditional,BR_Fine_Trigram_TFIDF_NB,unknown,3049,98,33,2918,0.0321
exp1,traditional,BR_Fine_Trigram_TFIDF_SVM,unknown,3049,294,119,2636,0.0964
exp1,traditional,BR_Fine_Unigram_BoW_LR,unknown,3049,414,320,2315,0.1358
exp1,traditional,BR_Fine_Unigram_BoW_NB,unknown,3049,356,776,1917,0.1168
exp1,traditional,BR_Fine_Unigram_BoW_SVM,unknown,3049,275,123,2651,0.0902
exp1,traditional,BR_Fine_Unigram_TFIDF_LR,unknown,3049,309,123,2617,0.1013
exp1,traditional,BR_Fine_Unigram_TFIDF_NB,unknown,3049,64,17,2968,0.021
exp1,traditional,BR_Fine_Unigram_TFIDF_SVM,unknown,3049,293,123,2633,0.0961
